                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.36,                0.68574,                 1.2029,                0.88615,                0.76878,                0.84913,                0.49035,                 1.6227,                0.82253,                   1.42,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.3424,                0.67015,                 1.2003,                0.90966,                0.75375,                0.85782,                0.49625,                 1.6128,                0.79055,                 1.4069,             0.00081688,             0.00081688,             0.00081688
                     37,                  1.338,                0.66696,                 1.1936,                0.88091,                0.78571,                0.84921,                0.49767,                 1.6084,                0.83827,                 1.4023,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.3421,                0.66866,                  1.194,                0.85701,                0.77481,                0.85079,                0.49444,                 1.6133,                0.79237,                 1.4003,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.3258,                0.65412,                 1.1852,                0.86606,                0.71908,                0.84198,                0.47597,                 1.6331,                0.84105,                 1.4314,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.3171,                0.65539,                 1.1797,                0.87365,                0.79272,                0.87336,                0.50949,                 1.5957,                0.77071,                 1.3958,             0.00076738,             0.00076738,             0.00076738
                     41,                  1.307,                0.64797,                 1.1665,                0.89319,                 0.7691,                0.85044,                0.49543,                 1.6195,                0.81481,                 1.3987,               0.000755,               0.000755,               0.000755
                     42,                 1.2872,                 0.6338,                 1.1683,                0.88866,                0.77387,                0.85881,                0.49737,                 1.6261,                0.79177,                 1.4103,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2918,                0.64037,                 1.1703,                0.85885,                0.81489,                0.87258,                0.50451,                 1.5894,                0.75916,                 1.4025,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.2805,                0.63266,                 1.1623,                0.86141,                0.76238,                0.85625,                0.49728,                 1.6189,                0.80042,                 1.4194,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2812,                0.63094,                 1.1646,                0.85244,                0.79601,                0.85172,                0.50571,                 1.6026,                 0.8058,                 1.4127,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.2651,                0.61787,                 1.1582,                0.84822,                0.76274,                0.85241,                0.49241,                 1.6141,                0.81422,                 1.4241,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.2576,                  0.612,                 1.1482,                0.88305,                0.77327,                0.86729,                0.50987,                 1.5969,                0.78579,                 1.4047,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.2592,                0.61242,                 1.1505,                0.87428,                0.77822,                0.85221,                0.49705,                 1.6132,                0.79331,                 1.4082,             0.00066838,             0.00066838,             0.00066838
                     49,                  1.254,                0.61497,                 1.1469,                 0.8808,                0.77407,                0.83831,                0.49562,                  1.592,                0.80608,                 1.4045,               0.000656,               0.000656,               0.000656
                     50,                 1.2507,                0.61001,                 1.1498,                 0.8818,                0.78838,                0.86051,                0.50125,                 1.6152,                0.77968,                  1.426,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.2411,                0.59921,                 1.1465,                0.91359,                0.75398,                0.87248,                0.52044,                 1.5841,                0.77881,                 1.3889,             0.00063125,             0.00063125,             0.00063125
